PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
N/A,"First results from the international paediatric bronchiectasis registry (Child-BEAR-Net Registry) describing multicountry variations in childhood bronchiectasis and its management: a multicentre, cross-sectional study.",2025-Aug-,,,N/A
N/A,Parsonage-Turner Syndrome Following COVID-19 Exposures: A Systematic Review.,2025-Aug-04,,,N/A
N/A,"""It's not about me. It's about what's best for my community"": Factors impacting COVID-19 vaccine uptake among Native Americans and Latinos from two agricultural communities.",2025-Jun-,,,N/A
N/A,Lipid nanoparticle-mediated targeted mRNA delivery and its application in cancer therapy.,2025-Aug-04,,,N/A
N/A,"mRNA medicine: Recent progresses in chemical modification, design, and engineering.",2024-Oct-,,,N/A
N/A,A Systematic Review of Clinical Trials Using mRNA Vaccines for Infectious Diseases other than COVID-19.,2025--,,,N/A
N/A,Safety and health care utilization following COVID-19 vaccination (BNT162b2) among children and youth with juvenile idiopathic arthritis and inflammatory bowel disease: A population-based study.,2025-Jul-,"Jennifer J Y Lee, Eric I Benchimol, Jeffrey C Kwong, Qing Li, Jessica Widdifield","Chronic Disease and Pharmacotherapy Program, ICES, Toronto, Ontario, Canada., Chronic Disease and Pharmacotherapy Program, ICES, Toronto, Ontario, Canada., Chronic Disease and Pharmacotherapy Program, ICES, Toronto, Ontario, Canada., Chronic Disease and Pharmacotherapy Program, ICES, Toronto, Ontario, Canada., Chronic Disease and Pharmacotherapy Program, ICES, Toronto, Ontario, Canada.",N/A
N/A,Identification of Community Vaccine Hesitancy: A Descriptive-Cross-Sectional Study.,2025-Mar-,,,N/A
N/A,Vaccine hesitancy in healthcare workers during COVID-19 pandemic: Draw on experience.,2025-Mar-,,,N/A
N/A,"Correction: Development of prediction models of COVID-19 vaccine uptake among Lebanese and Syrians in a district of Beirut, Lebanon: a population- based study.",2025--,,,N/A
